"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Average lookalike similarity score","hs_average_lookalike_similarity_score","number","The calculated average similarity score of all the objects in the segment","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"List ID","hs_classic_list_id","number","The segment ID is used when referencing segments in any third-party integrations, or when using the Segments API","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","31.06%","",""
"Email click through rate","hs_click_through_rate","number","","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Cluster segment description","hs_cluster_segment_description","string","The description of a segment that was built from an AI generated Cluster","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","24.68%","",""
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Description","hs_description","string","","objectlistinformation","false","","false","true","false","false","false","true","HubSpot","","1.28%","",""
"Email open rate","hs_email_open_rate","number","","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Generated with AI","hs_generated_by_ai","bool","Marks segments that were created or modified with the help of AI","objectlistinformation","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","100%","",""
"Type: Active","hs_is_active_list","bool","Indicates whether the segment is an active one which could have membership updates over time","objectlistinformation","false","Yes (true); No (false)","true","true","true","false","false","true","HubSpot","","100%","",""
"Read only","hs_is_read_only","enumeration","Shows if this list is able to be edited or deleted","objectlistinformation","false","Yes (true); No (false)","true","false","false","false","false","true","HubSpot","","31.06%","",""
"Last record added at","hs_last_record_added_at","datetime","The date and time when the last record joined the list","objectlistinformation","false","","true","false","false","false","false","true","HubSpot","","10.21%","",""
"Last record removed at","hs_last_record_removed_at","datetime","The date and time when the last record left the list","objectlistinformation","false","","true","false","false","false","false","true","HubSpot","","0%","",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Segment access level","hs_list_access_level","enumeration","General access permissions of a segment","objectlistinformation","false","Creator only (CREATOR_ONLY); Specific users and teams (SPECIFIC_USERS_AND_TEAMS); Everyone view (EVERYONE_VIEW); Everyone edit (EVERYONE_EDIT)","true","true","false","false","false","true","HubSpot","","24.26%","",""
"ILS Segment ID","hs_list_id","number","The list ID referenced when using the Exports API","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Segment name","hs_list_name","string","The name of the segment","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Notifications","hs_list_notifications","enumeration","Enumeration of notifications enabled for the segment","objectlistinformation","false","Edited or deleted (list_definition_updated); Count reached (list_size_reaches_count); Size anomaly detected (list_size_change_anomaly_detected)","true","true","false","false","false","true","HubSpot","","0%","",""
"Used in","hs_list_reference_categories","enumeration","Indicates the types of assets using a segment","objectlistinformation","false","Ads (1); Blogs (4); Bots (5); Campaigns (6); Chatflows (12); CTAs (Legacy) (8); Datasets (13); Emails (9); Health Scoring (21); Journeys (2); Lead scoring (20); Lookalike Lists (10); Lists (22); Marketing Events (11); Reporting (7); Salesforce Inclusion Lists (19); Smart Content (15); SMS (16); Social Streams (18); Split Lists (17); Views (14); Workflows (3)","true","true","false","false","false","true","HubSpot","","74.89%","",""
"List Size","hs_list_size","number","","objectlistinformation","false","","true","false","false","false","false","true","HubSpot","","84.68%","",""
"7-Day Change","hs_list_size_week_delta","number","How the count of the list has changed in the last 7 days","objectlistinformation","false","","true","false","false","false","false","true","HubSpot","","0%","",""
"Segment version","hs_list_version","number","The current version of the segment","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Lookalikes AI Summary","hs_lookalike_ai_summary","string","The summary of how a lookalike segment compares to its seed segment","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Assigned team","hs_membership_team_id","number","Team that the segment is assigned to and used to limit segment memberships","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Object Type","hs_object_type_id","string","The object type id of the objects in the list","objectlistinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Teams with edit access","hs_teams_with_edit_access","enumeration","Teams with explicit edit access to a list","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","24.68%","",""
"Users with edit access","hs_users_with_edit_access","enumeration","Users with explicit edit access to a segment","objectlistinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
